0 tensor(27.0009, device='cuda:0')
1 tensor(30.1671, device='cuda:0')
2 tensor(37.5550, device='cuda:0')
3 tensor(45.9543, device='cuda:0')
4 tensor(48.6368, device='cuda:0')
5 tensor(50.6596, device='cuda:0')
6 tensor(50.8795, device='cuda:0')
7 tensor(53.7379, device='cuda:0')
8 tensor(55.8047, device='cuda:0')
9 tensor(55.9367, device='cuda:0')
10 tensor(59.2348, device='cuda:0')
11 tensor(58.0915, device='cuda:0')
12 tensor(59.4547, device='cuda:0')
13 tensor(60.2463, device='cuda:0')
14 tensor(62.0493, device='cuda:0')
15 tensor(61.7414, device='cuda:0')
16 tensor(62.9727, device='cuda:0')
17 tensor(64.7757, device='cuda:0')
18 tensor(66.6227, device='cuda:0')
19 tensor(68.2938, device='cuda:0')
20 tensor(70.1847, device='cuda:0')
21 tensor(69.9648, device='cuda:0')
22 tensor(71.4160, device='cuda:0')
23 tensor(74.5383, device='cuda:0')
24 tensor(76.1653, device='cuda:0')
25 tensor(74.2304, device='cuda:0')
26 tensor(78.8039, device='cuda:0')
27 tensor(81.0026, device='cuda:0')
28 tensor(81.7062, device='cuda:0')
29 tensor(81.5303, device='cuda:0')
30 tensor(86.4116, device='cuda:0')
31 tensor(88.6544, device='cuda:0')
32 tensor(90.8091, device='cuda:0')
33 tensor(91.0730, device='cuda:0')
34 tensor(92.0844, device='cuda:0')
35 tensor(92.3483, device='cuda:0')
36 tensor(91.6007, device='cuda:0')
37 tensor(92.7441, device='cuda:0')
38 tensor(92.6121, device='cuda:0')
39 tensor(92.7880, device='cuda:0')
40 tensor(93.9754, device='cuda:0')
41 tensor(93.9314, device='cuda:0')
42 tensor(94.3711, device='cuda:0')
43 tensor(94.2832, device='cuda:0')
44 tensor(93.9314, device='cuda:0')
45 tensor(95.0748, device='cuda:0')
46 tensor(95.2507, device='cuda:0')
47 tensor(95.3826, device='cuda:0')
48 tensor(95.6904, device='cuda:0')
49 tensor(95.9543, device='cuda:0')
50 tensor(96.1302, device='cuda:0')
51 tensor(96.6139, device='cuda:0')
52 tensor(96.8777, device='cuda:0')
53 tensor(96.9657, device='cuda:0')
54 tensor(97.1416, device='cuda:0')
55 tensor(97.2295, device='cuda:0')
56 tensor(96.8777, device='cuda:0')
57 tensor(97.0976, device='cuda:0')
58 tensor(97.9771, device='cuda:0')
59 tensor(97.5814, device='cuda:0')
60 tensor(98.4169, device='cuda:0')
61 tensor(98.5928, device='cuda:0')
62 tensor(98.6368, device='cuda:0')
63 tensor(98.8127, device='cuda:0')
64 tensor(98.9006, device='cuda:0')
65 tensor(99.2524, device='cuda:0')
66 tensor(98.6807, device='cuda:0')
67 tensor(99.3404, device='cuda:0')
68 tensor(98.7247, device='cuda:0')
69 tensor(98.9886, device='cuda:0')
70 tensor(99.2524, device='cuda:0')
71 tensor(99.2084, device='cuda:0')
72 tensor(98.9006, device='cuda:0')
73 tensor(99.2964, device='cuda:0')
74 tensor(99.3843, device='cuda:0')
75 tensor(99.1205, device='cuda:0')
76 tensor(99.0765, device='cuda:0')
77 tensor(99.4283, device='cuda:0')
78 tensor(98.9886, device='cuda:0')
79 tensor(98.9446, device='cuda:0')
80 tensor(99.6042, device='cuda:0')
81 tensor(99.0765, device='cuda:0')
82 tensor(99.1205, device='cuda:0')
83 tensor(99.3843, device='cuda:0')
84 tensor(99.2524, device='cuda:0')
85 tensor(98.8127, device='cuda:0')
86 tensor(99.1205, device='cuda:0')
87 tensor(99.6042, device='cuda:0')
88 tensor(99.3843, device='cuda:0')
89 tensor(99.2964, device='cuda:0')
90 tensor(99.3843, device='cuda:0')
91 tensor(99.4283, device='cuda:0')
92 tensor(99.2084, device='cuda:0')
93 tensor(99.4283, device='cuda:0')
94 tensor(99.2084, device='cuda:0')
95 tensor(99.4283, device='cuda:0')
96 tensor(99.5163, device='cuda:0')
97 tensor(99.2084, device='cuda:0')
98 tensor(99.3404, device='cuda:0')
99 tensor(99.2524, device='cuda:0')
